scenario,n,tau1,tau2,mu,P_minus,P_plus,avg_deg,min_community
n10000_mu40_pm30_k20,10000,3.0,1.5,0.4,0.3,0.9,20,20
n10000_mu50_pm10_k10,10000,3.0,1.5,0.5,0.1,0.9,10,20
n10000_mu50_pm10_k20,10000,3.0,1.5,0.5,0.1,0.9,20,20
n10000_mu50_pm20_k10,10000,3.0,1.5,0.5,0.2,0.9,10,20
n10000_mu50_pm20_k20,10000,3.0,1.5,0.5,0.2,0.9,20,20
n10000_mu50_pm30_k10,10000,3.0,1.5,0.5,0.3,0.9,10,20
n10000_mu50_pm30_k20,10000,3.0,1.5,0.5,0.3,0.9,20,20
n10000_mu60_pm10_k10,10000,3.0,1.5,0.6,0.1,0.9,10,20
n10000_mu60_pm10_k20,10000,3.0,1.5,0.6,0.1,0.9,20,20
n10000_mu60_pm20_k10,10000,3.0,1.5,0.6,0.2,0.9,10,20
n10000_mu60_pm20_k20,10000,3.0,1.5,0.6,0.2,0.9,20,20
n10000_mu60_pm30_k10,10000,3.0,1.5,0.6,0.3,0.9,10,20
n10000_mu60_pm30_k20,10000,3.0,1.5,0.6,0.3,0.9,20,20
n10000_mu70_pm10_k10,10000,3.0,1.5,0.7,0.1,0.9,10,20
n10000_mu70_pm10_k20,10000,3.0,1.5,0.7,0.1,0.9,20,20
n10000_mu70_pm20_k10,10000,3.0,1.5,0.7,0.2,0.9,10,20
n10000_mu70_pm20_k20,10000,3.0,1.5,0.7,0.2,0.9,20,20
n10000_mu70_pm30_k10,10000,3.0,1.5,0.7,0.3,0.9,10,20
n10000_mu70_pm30_k20,10000,3.0,1.5,0.7,0.3,0.9,20,20
n10000_mu80_pm10_k10,10000,3.0,1.5,0.8,0.1,0.9,10,20
n10000_mu80_pm10_k20,10000,3.0,1.5,0.8,0.1,0.9,20,20
n10000_mu80_pm20_k10,10000,3.0,1.5,0.8,0.2,0.9,10,20
n10000_mu80_pm20_k20,10000,3.0,1.5,0.8,0.2,0.9,20,20
n10000_mu80_pm30_k10,10000,3.0,1.5,0.8,0.3,0.9,10,20
n10000_mu80_pm30_k20,10000,3.0,1.5,0.8,0.3,0.9,20,20
